allergens,brand,carb_cals,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,dry_wet,fat_cals,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,prot_cals,total_cals
,avoderm,,12%,87/100g,13%,23%,7%,45%,wet,,2.7%,2.8%,5.0%,1.5%,78.0%,10.0%,"Salmon (Source Of Omega 3),Salmon Broth,Turkey,Chicken Liver,Rice,Oat Bran,Avocado Oil,Guar Gum,Potassium Chloride,Cassia Gum,Xanthan Gum,Vitamins (Thiamine Mononitrate,Vitamin E Supplement,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Choline Chloride,Taurine,Salt,Minerals (Ferrous Sulfate,Zinc Oxide,Copper Proteinate,Potassium Iodide,Manganese Sulfate,Sodium Selenite),Choline Chloride,Magnesium Sulfate",[3],Salmon Formula,[4],,
,avoderm,,16%,63/100g,0%,11%,5%,69%,wet,,3.0%,0.0%,2.0%,1.0%,82.0%,13.0%,"Salmon (Source Of Omega 3),Salmon Broth,Tricalcium Phosphate,Sunflower Oil,Guar Gum,Avocado Oil,Taurine,Minerals (Ferrous Sulfate Monohydrate,Zinc Oxide,Manganese Sulfate Monohydrate,Copper Amino Acid Complex,Sodium Selenite,Potassium Iodide),Poatssium Chloride,Choline Chloride,Vitamins (Vitamin A Supplement,Vitamin D3 Supplement,Vitamin E Supplement,Thiamine Mononitrate,Niacin,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride (Vitamin B6),Folic Acid,Menadion Sodium Bisulfite Complex (Source Of Vitamin K Activity),Biotin,Vitamin B12 Supplement)",[2],Wild By Nature Salmon In Salmon Consommé,[5],,
,avoderm,,12%,92/100g,8%,27%,7%,45%,wet,,2.7%,1.8%,6.0%,1.5%,78.0%,10.0%,"Fish Broth,Ocean Fish (Source of Omega 3),Chicken,Chicken Liver,Turkey,Rice Flour,Oat Bran,Avocado Oil,Guar Gum,Potassium Chloride,Vitamins (Thiamine Mononitrate,Vitamin E Supplement,Nicacin Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Cassia Gum,Xanthan Gum,Taurine,Minerals (Ferrous Sulfate,Zinc Oxide,Copper Proteinate,Potassium Iodide,Mnganese Sulfate,Sodium Selenite),Choline Chloride,Salt",[3],Ocean Fish Formula,[4],,
,avoderm,,10%,87/100g,13%,23%,9%,45%,wet,,2.2%,2.8%,5.0%,2.0%,78.0%,10.0%,"Chicken Broth,Chicken,Chicken Liver,Tuna (Source of Omega 3),Rice Flour,Oatmeal,Oat Fiber,Pea Fiber,Natural Flavor,Flaxseed,Guar Gum,Potassium Chloride,Cassia Gum,Xanthan Gum,Vitamins (Thiamine Mononitrate,Vitamin E Supplement,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Chicory Root,Taurine,Avocado Oil,Calcium Carbonate,Minerals (Ferrous Sulfate,Zinc Oxide,Copper Proteinate,Potassium Iodide,Manganese Sulfate,Sodium Selenite),Choline Chloride,Salt,Yucca Schidigera Extract,L-Carnitine",[2],Indoor Weight Control Formula,[3],,
,avoderm,,16%,63/100g,0%,10%,8%,68%,wet,,3.0%,0.0%,2.0%,1.5%,82.0%,13.0%,"Tuna,Fish Broth,Mackerel (Source of Omega 3),Tapioca Starch,Sunflower Oil,Tricalcium Phosphate,Avocado Oil,Guar Gum,Potassium Chloride,Salt,Choline Chloride,Taurine,Vitamins (Vitamin E Supplement,Niacin Supplement,Thiamine Mononitrate,Vitamin A Supplement,Vitamin B12 Supplement,Pyridoxine Hydrochloride,Calcium Pantothenate,Riboflavin Supplement,Biotin,Vitamin D3 Supplement,Folic Acid,Menadione Sodium Bisulfite Complex (Source of Vitamin K)),Minerals (Iron Amino Acid Complex,Zinc Amino Acid Complex,Manganese Amino Acid Complex,Copper Amino Acid Complex,Sodium Selenite,Potassium Iodide),Magnesium Oxide",[2],Grain Free Tuna Recipe In Gravy,[5],,
,avoderm,,17%,59/100g,11%,11%,6%,56%,wet,,3.0%,2.0%,2.0%,1.0%,82.0%,10.0%,"Tuna (Source Of Omega 3),Tuna Broth,Crab,Tapioca Starch,Sunflower Oil,Guar Gum,Tricalcium Phosphate,Avocado Oil,Taurine,Minerals (Ferrous Sulfate Monohydrate,Zinc Oxide,Manganese Sulfate Monohydrate,Copper Amino Acid Complex,Sodium Selenite,Potassium Iodide),Choline Chloride,Potassium Cholride,Vitamins (Vitamin A Supplement,Vitamin D3 Supplement,Vitamin E Supplement,Thiamine Mononitrate,Niacin,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride (Vitamin B6),Folic Acid,Menadion Sodium Bisulfite Complex (Source Of Vitamin K Activity),Biotin,Vitamin B12 Supplement)",[2],Grain Free Tuna & Crab Entrée In Gravy,[4],,
,avoderm,,16%,68/100g,0%,16%,8%,62%,wet,,3.0%,0.0%,3.0%,1.5%,82.0%,12.0%,"Tuna (Source of Omega 3),Fish Broth,Chicken,Sunflower Oil,Carrots,Green Pea,Guar Gum,Tricalcium Phosphate,Avocado Oil,Taurine,Choline Chloride,Potassium Chloride,Minerals (Ferrous Sulfate Monohydrate,Zinc Oxide,Manganese Sulfate Monohydrate,Copper Amino Acid Complex,Sodium Selenite,Potassium Iodide),Vitamins (Vitamin A Supplement,Vitamin D3 Supplement,Vitamin E Supplement,Thiamine Mononitrate,Niacin,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride (Vitamin B6),Folic Acid,Menadion Sodium Bisulfite Complex (Source of Vitamin K Activity),Biotin,Vitamin B12 Supplement),Magnesium Oxide",[3],Grain Free Tuna & Chicken Entrée With Vegetables,[5],,
,avoderm,,18%,56/100g,6%,12%,6%,59%,wet,,3.0%,1.0%,2.0%,1.0%,83.0%,10.0%,"Sardine (Source Of Omega 3),Fish Broth,Shrimp,Crab,Tapioca Starch,Guar Gum,Tricalcium Phosphate,Avocado Oil,Taurine,Salt,Minerals (Ferrous Sulfate Monohydrate,Zinc Oxide,Manganese Sulfate Monohydrate,Copper Amino Acid Complex,Sodium Selenite,Potassium Iodide),Potassium Chloride,Vitamins (Vitamin A Supplement,Vitamin D3 Supplement,Vitamin E Supplement,Thiamine Mononitrate,Niacin,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride (Vitamin B6),Folic Acid,Menadion Sodium Bisulfite Complex (Source Of Vitamin K Activity),Biotin,Vitamin B12 Supplement),Choline Chloride",[2],"Grain Free Sardine, Shrimp & Crab Entre In Gravy",[4],,
,avoderm,,16%,88/100g,0%,36%,8%,42%,wet,,3.0%,0.0%,7.0%,1.5%,82.0%,8.0%,"Salmon (Source of Omega 3),Chicken,Sardine,Pea Pulse Protein,Tapioca Starch,Guar Gum,Tricalcium Phosphate,Avocado Oil,Sunflower Oil,Taurine,Potassium Chloride,Choline Chloride,Vitamins (Vitamin E Supplement,Niacin Supplement,Thiamine Mononitrate,Vitamin A Supplement,Vitamin B12 Supplement,Pyridoxine Hydrochloride,Calcium Pantothenate,Riboflavin Supplement,Biotin,Vitamin D3 Supplement,Folic Acid,Menadione Sodium Bisulfite Complex (Source of Vitamin K)),Minerals (Ferrous Sulfate Monohydrate,Zinc Oxide,Manganese Sulfate Monohydrate,Copper Amino Acid Complex,Sodium Selente,Potassium Iodide),Magnesium Oxide.",[3],Grain Free Salmon Recipe In Gravy,[4],,
,avoderm,,17%,62/100g,14%,17%,8%,44%,wet,,3.0%,2.5%,3.0%,1.5%,82.0%,8.0%,"Fish Broth,Salmon,Chicken,Sardine (Source of Omega 3),pea protein,Tapioca Starch,Tricalcium Phosphate,Avocado Oil,Sunflower Oil,Taurine,Guar Gum,Poatssium Chloride,Choline Chloride,Vitamins (Vitamin A Supplement,Vitamin D3 Supplement,Vitamin E Supplement,Thiamine mononitrate,Niacin,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride (Vitamin B6),Folic Acid,Menadion Sodium Bisulfite Complex (Source of Vitamin K Activity),Biotin,Vitamin B12 Supplement),Minerals (Ferrous Sulfate Monohydrate,Zinc Oxide,Manganese Sulfate Monohydrate,Copper Amino Acid Complex,Sodium Selenite,Potassium Iodide),Magnesium Oxide",[3],Grain Free Salmon & Chicken Entre In Gravy,[4],,
,avoderm,,18%,52/100g,0%,12%,9%,61%,wet,,3.0%,0.0%,2.0%,1.5%,84.0%,10.0%,"Fish Broth,Mackerel,Tuna,Tapioca Starch,Sunflower Oil,Tricalcium Phosphate,Guar Gum,Avocado Oil ,Potassium Chloride,Salt,Choline Chloride,Taurine,Minerals (Iron Amino Acid Complex,Zinc Amino Acid Complex,Manganese Amino Acid Complex,Copper Amino Acid Complex,Sodium Selenite,Potassium Iodide),Vitamins (Vitamin E Supplement,Niacin Supplement,Thiamine Mononitrate,Vitamin A Supplement,Vitamin B12 Supplement,Pyridoxine Hydrochloride,Calcium Pantothenate,Riboflavin Supplement,Biotin,Vitamin D3 Supplement,Folic Acid,Menadione Sodium Bisulfite Complex (Source of Vitamin K)),Magnesium Oxide",[2],Grain Free Ocean Fish Recipe In Gravy,[5],,
,avoderm,,17%,59/100g,8%,11%,6%,58%,wet,,3.0%,1.5%,2.0%,1.0%,82.0%,10.5%,"Chicken,Chicken Broth,Sunflower Oil,Tapioca Starch,Tricalcium Phosphate,Guar Gum,Salt,Avocado Oil (Source of Omega 3),Taurine,Minerals (Ferrous Sulfate Monohydrate,Zinc Oxide,Manganese Sulfate Monohydrate,Copper Amino Acid Complex,Sodium Selenite,Potassium Iodide),Choline Chloride,Vitamins (Vitamin A Supplement,Vitamin D3 Supplement,Vitamin E Supplement,Thiamine mononitrate,Niacin,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride (Vitamin B6),Folic Acid,Menadion Sodium Bisulfite Complex (Source of Vitamin K Activity),Biotin,Vitamin B12 Supplement),Potassium Chloride,Magnesium Oxide",[2],Grain Free Chicken Chunks Entrée In Gravy,[4],,
,avoderm,,17%,62/100g,14%,17%,8%,44%,wet,,3.0%,2.5%,3.0%,1.5%,82.0%,8.0%,"Chicken Broth,Chicken,Pea Protein ,Tapioca Starch,Duck,Tricalcium Phosphate,Guar Gum,Avocado Oil (Source of Omega 3),Sunflower Oil,Taurine,Potassium Chloride,Choline Chloride,Salt,Minerals (Ferrous Sulfate Monohydrate,Zinc Oxide,Manganese Sulfate Monohydrate,Copper Amino Acid Complex,Sodium Selenite,Potassium Iodide),Vitamins (Vitamin E Supplement,Niacin Supplement,Thiamine Mononitrate,Vitamin A Supplement,Vitamin B12 Supplement,Pyridoxine Hydrochloride,Calcium Pantothenate,Riboflavin Supplement,Biotin,Vitamin D3 Supplement,Folic Acid,Menadione Sodium Bisulfite Complex (Source of Vitamin K),Magnesium Oxide",[2],Grain Free Chicken & Duck Recipe In Gravy,[3],,
,avoderm,,17%,62/100g,14%,17%,8%,44%,wet,,3.0%,2.5%,3.0%,1.5%,82.0%,8.0%,"Chicken Broth,Chicken,Pea Protein,Tapioca Starch,Duck,Tricalcium Phosphate,Guar Gum,Sunflower Oil,Avocado Oil (Source Of Omega 3),Taurine,Potassium Chloride,Choline Chloride,Salt,Vitamins (Vitamin A Supplement,Vitamin D3 Supplement,Vitamin E Supplement,Thiamine Mononitrate,Niacin,Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride (Vitamin B6),Folic Acid,Menadion Sodium Bisulfite Complex (Source Of Vitamin K Activity),Biotin,Vitamin B12 Supplement),Minerals (Ferrous Sulfate Monohydrate,Zinc Oxide,Manganese Sulfate Monohydrate,Copper Amino Acid Complex,Sodium Selenite,Potassium Iodide),Magnesium Oxide",[2],Grain Free Chicken & Duck Entrée In Gravy,[3],,
,avoderm,,12%,97/100g,4%,32%,7%,45%,wet,,2.7%,0.8%,7.0%,1.5%,78.0%,10.0%,"Chicken,Chicken Broth,Chicken Liver,Ocean Fish (Source Of Omega 3),Turkey,Oat Bran,Rice,Avocado Oil,Guar Gum,Potassium Chloride,Vitamins (Thiamine Mononitrate,Vitamin E Supplement,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid),Cassia Gum,Xanthan Gum,Taurine,Minerals (Ferrous Sulfate,Zinc Oxide,Copper Proteinate,Potassium Iodide,Manganese Sulfate,Sodium Selenite),Choline Chloride,Salt.",[4],Chicken Formula,[4],,
,bff,,0%,66/100g,24%,12%,6%,59%,wet,,0.0%,4.0%,2.0%,1.0%,83.0%,10.0%,"Turkey Broth,Turkey,Tuna,Sardine,Dried Egg,Natural Flavor,Calcium Sulfate,Locust Bean Gum,Xanthan Gum,Guar Gum,Taurine,Potassium Chloride,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Turkey & Tuna Tweet Me!,[4],,
,bff,,0%,69/100g,16%,12%,1%,71%,wet,,0.0%,2.8%,2.0%,0.2%,83.0%,12.0%,"Tuna,Water Sufficient For Processing,Sunflower Seed Oil,Calcium Lactate,Locust Bean Gum,Guar Gum,Tricalcium Phosphate,Potassium Chloride,Choline Chloride,Taurine,Zinc Sulfate,Vitamin E,Nicotinic Acid (vitamin B3),Thiamine Mononitrate (vitamin B1),Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Ferrous Sulfate,Potassium Iodide,Folic Acid,Copper Sulfate,Menadione Sodium Bisulfite Complex (source Of Vitamin K),Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement",[2],Tuna Too Cool,[4],,
,bff,,0%,66/100g,18%,12%,6%,65%,wet,,0.0%,3.0%,2.0%,1.0%,83.0%,11.0%,"Tuna Broth,Tuna,Turkey,Sardine,Dried Egg,Natural Flavor,Coconut Oil,Calcium Sulfate,Locust Bean Gum,Xanthan Gum,Taurine,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[4],Tuna & Turkey Totes!,[4],,
,bff,,0%,63/100g,25%,13%,6%,56%,wet,,0.0%,4.0%,2.0%,1.0%,84.0%,9.0%,"Tuna Broth,Tuna,Turkey,Sunflower Oil,Tapioca Starch,Guar Gum,Calcium Sulfate,Tricalcium Phosphate,Potassium Chloride,Celery Powder,Salt,Vitamin E Supplement,Ferrous Sulfate,Niacin Supplement,Zinc Oxide,Thiamine Mononitrate (vitamin B1),Taurine,Vitamin A Supplement,Vitamin B12 Supplement,Vitamin D3 Supplement,Manganese Sulfate,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Biotin,Copper Amino Acid Complex,Sodium Selenite,Folic Acid,Menadione Sodium Bisulfite Complex (source Of Vitamin K3),Potassium Iodide",[2],Tuna & Turkey Tickles,[3],,
,bff,,0%,59/100g,20%,13%,7%,60%,wet,,0.0%,3.0%,2.0%,1.0%,85.0%,9.0%,"Tuna Broth,Tuna,Turkey,Tapioca Starch,Sunflower Oil,Natural Flavor,Calcium Sulfate,Guar Gum,Celery Extract,Coconut Oil,Taurine,Salt,Tricalcium Phosphate,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[2],Tuna & Turkey Tell Me,[3],,
,bff,,0%,70/100g,22%,11%,6%,61%,wet,,0.0%,4.0%,2.0%,1.0%,82.0%,11.0%,"Tuna Broth,Tuna,Turkey,Sardine,Dried Egg,Natural Flavor,Calcium Sulfate,Guar Gum,Locust Bean Gum,Xanthan Gum,Taurine,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Tuna & Turkey T.t.y.l.,[4],,
,bff,,0%,69/100g,16%,12%,1%,71%,wet,,0.0%,2.8%,2.0%,0.2%,83.0%,12.0%,"Tuna,Water Sufficient For Processing,Tilapia,Sunflower Seed Oil,Calcium Lactate,Locust Bean Gum,Guar Gum,Tricalcium Phosphate,Potassium Chloride,Choline Chloride,Taurine,Vitamin E Supplement,Zinc Sulfate,Nicotinic Acid (vitamin B3),Thiamine Mononitrate (vitamin B1),Ferrous Sulfate,Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Riboflavin Supplement (vitamin B2),Potassium Iodide,Folic Acid,Copper Sulfate,Menadione Sodium Bisulfite Complex (source Of Vitamin K),Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement",[3],Tuna & Tilapia Twosome,[4],,
,bff,,0%,69/100g,16%,12%,1%,71%,wet,,0.0%,2.8%,2.0%,0.2%,83.0%,12.0%,"Tuna,Water Sufficient For Processing,Shrimp,Potato Starch,Sunflower Seed Oil,Calcium Lactate,Xanthan Gum,Choline Chloride,Tricalcium Phosphate,Taurine,Vitamin E Supplement,Zinc Sulfate,Nicotinic Acid (vitamin B3),Thiamine Mononitrate (vitamin B1),Ferrous Sulfate,Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Copper Sulfate,Folic Acid,Potassium Iodide,Vitamin D3 Supplement,Menadione Sodium Bisulfite Complex (source Of Vitamin K),Biotin,Vitamin B12 Supplement",[2],Tuna & Shrimp Sweethearts,[4],,
,bff,,0%,53/100g,19%,10%,7%,64%,wet,,0.0%,2.6%,1.4%,1.0%,86.0%,9.0%,"Tuna Broth,Tuna,Salmon,Tapioca Starch,Sunflower Oil,Guar Gum,Calcium Sulfate,Tricalcium Phosphate,Potassium Chloride,Celery Powder,Salt,Vitamin E Supplement,Ferrous Sulfate,Niacin Supplement,Zinc Oxide,Thiamine Mononitrate (vitamin B1),Taurine,Vitamin A Supplement,Vitamin B12 Supplement,Vitamin D3 Supplement,Manganese Sulfate,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Biotin,Copper Amino Acid Complex,Sodium Selenite,Folic Acid,Menadione Sodium Bisulfite Complex (source Of Vitamin K3),Potassium Iodide",[2],Tuna & Salmon Sweet Cheeks,[4],,
,bff,,0%,59/100g,20%,13%,7%,60%,wet,,0.0%,3.0%,2.0%,1.0%,85.0%,9.0%,"Tuna Broth,Tuna,Salmon,Sunflower Oil,Tapioca Starch,Natural Flavor,Calcium Sulfate,Guar Gum,Celery Extract,Coconut Oil,Taurine,Tricalcium Phosphate,Salt,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[2],Tuna & Salmon Start Me Up,[3],,
,bff,,0%,69/100g,16%,12%,1%,71%,wet,,0.0%,2.8%,2.0%,0.2%,83.0%,12.0%,"Tuna,Water Sufficient For Processing,Salmon,Sunflower Seed Oil,Calcium Lactate,Locust Bean Gum,Guar Gum,Choline Chloride,Tricalcium Phosphate,Potassium Chloride,Taurine,Vitamin E Supplement,Zinc Sulfate,Nicotinic Acid (vitamin B3),Thiamine Mononitrate (vitamin B1),Ferrous Sulfate,Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Riboflavin Supplement (vitamin B2),Potassium Iodide,Folic Acid,Copper Sulfate,Menadione Sodium Bisulfite Complex (source Of Vitamin K),Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement",[3],Tuna & Salmon Soulmates,[4],,
,bff,,0%,66/100g,18%,12%,6%,65%,wet,,0.0%,3.0%,2.0%,1.0%,83.0%,11.0%,"Tuna Broth,Tuna,Salmon,Sardine,Dried Egg,Natural Flavor,Coconut Oil,Locust Bean Gum,Xanthan Gum,Calcium Sulfate,Taurine,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Tuna & Salmon Shhh...,[4],,
,bff,,0%,70/100g,22%,11%,6%,61%,wet,,0.0%,4.0%,2.0%,1.0%,82.0%,11.0%,"Tuna Broth,Tuna,Salmon,Sardine,Dried Egg,Natural Flavor,Guar Gum,Locust Bean Gum,Xanthan Gum,Taurine,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Tuna & Salmon Oh Snap!,[4],,
,bff,,0%,69/100g,16%,12%,1%,71%,wet,,0.0%,2.8%,2.0%,0.2%,83.0%,12.0%,"Tuna,Water Sufficient For Processing,Pumpkin,Potato Starch,Sunflower Seed Oil,Calcium Lactate,Xanthan Gum,Choline Chloride,Tricalcium Phosphate,Taurine,Vitamin E Supplement,Zinc Sulfate,Nicotinic Acid (vitamin B3),Thiamine Mononitrate (vitamin B1),Ferrous Sulfate,Calcium Pantothenate,Vitamin A Supplement,Manganese Sulfate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Copper Sulfate,Folic Acid,Potassium Iodide,Vitamin D3 Supplement,Menadione Sodium Bisulfite Complex (source Of Vitamin K),Biotin,Vitamin B12 Supplement",[2],Tuna & Pumpkin Valentine,[4],,
,bff,,0%,60/100g,28%,9%,6%,56%,wet,,0.0%,4.5%,1.5%,1.0%,84.0%,9.0%,"Tuna Broth,Tuna,Lamb,Tapioca Starch,Guar Gum,Calcium Sulfate,Tricalcium Phosphate,Sunflower Oil,Potassium Chloride,Celery Powder,Salt,Vitamin E Supplement,Ferrous Sulfate,Niacin Supplement,Zinc Oxide,Thiamine Mononitrate (vitamin B1),Taurine,Vitamin A Supplement,Vitamin B12 Supplement,Vitamin D3 Supplement,Manganese Sulfate,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Pyridoxine Hydrochloride (vitamin B6),Biotin,Copper Amino Acid Complex,Sodium Selenite,Folic Acid,Menadione Sodium Bisulfite Complex (source Of Vitamin K3),Potassium Iodide",[2],Tuna & Lamb Luv Ya,[3],,
,bff,,0%,70/100g,22%,11%,6%,61%,wet,,0.0%,4.0%,2.0%,1.0%,82.0%,11.0%,"Tuna Broth,Tuna,Lamb,Sardine,Dried Egg,Natural Flavor,Guar Gum,Locust Bean Gum,Xanthan Gum,Taurine,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Potassium Chloride,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Copper Amino Acid Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Tuna & Lamb Lovers' Lane,[4],,
,bff,,0%,59/100g,20%,13%,7%,60%,wet,,0.0%,3.0%,2.0%,1.0%,85.0%,9.0%,"Tuna Broth,Tuna,Lamb,Sunflower Oil,Tapioca Starch,Natural Flavor,Guar Gum,Calcium Sulfate,Celery Extract,Coconut Oil,Taurine,Salt,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[2],Tuna & Lamb Lights Out,[3],,
,bff,,0%,70/100g,22%,11%,6%,61%,wet,,0.0%,4.0%,2.0%,1.0%,82.0%,11.0%,"Tuna Broth,Tuna,Duck,Sardine,Dried Egg,Natural Flavor,Guar Gum,Locust Bean Gum,Xanthan Gum,Taurine,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Copper Glycine Complex,Pyridoxine Hydrochloride (vitamin B6),Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin Supplement,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Tuna & Duck Double Dare,[4],,
